=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  14,263 artists without images


  [3601/14263] (25.2%) | Deezer: 1253 | MusicBrainz: 0 | Not found: 2348   
  [3651/14263] (25.6%) | Deezer: 1269 | MusicBrainz: 0 | Not found: 2382   
  [3701/14263] (25.9%) | Deezer: 1289 | MusicBrainz: 0 | Not found: 2412   
  [3751/14263] (26.3%) | Deezer: 1307 | MusicBrainz: 0 | Not found: 2444   
  [3801/14263] (26.6%) | Deezer: 1330 | MusicBrainz: 0 | Not found: 2471   
  [3851/14263] (27.0%) | Deezer: 1347 | MusicBrainz: 0 | Not found: 2504   
  [3901/14263] (27.4%) | Deezer: 1365 | MusicBrainz: 0 | Not found: 2536   
  [3951/14263] (27.7%) | Deezer: 1382 | MusicBrainz: 0 | Not found: 2569   
  [4001/14263] (28.1%) | Deezer: 1405 | MusicBrainz: 0 | Not found: 2596   
  [4051/14263] (28.4%) | Deezer: 1416 | MusicBrainz: 0 | Not found: 2635   
  [4101/14263] (28.8%) | Deezer: 1433 | MusicBrainz: 0 | Not found: 2668   
  [4151/14263] (29.1%) | Deezer: 1455 | MusicBrainz: 0 | Not found: 2696   
  [4201/14263] (29.5%) | Deezer: 1470 | MusicBrainz: 0 | Not found: 2731   
  [4251/14263] (29.8%) | Deezer: 1484 | MusicBrainz: 0 | Not found: 2767   
  [4301/14263] (30.2%) | Deezer: 1503 | MusicBrainz: 0 | Not found: 2798   
  [4351/14263] (30.5%) | Deezer: 1524 | MusicBrainz: 0 | Not found: 2827   
  [4401/14263] (30.9%) | Deezer: 1543 | MusicBrainz: 0 | Not found: 2858   
  [4451/14263] (31.2%) | Deezer: 1557 | MusicBrainz: 0 | Not found: 2894   
  [4501/14263] (31.6%) | Deezer: 1570 | MusicBrainz: 0 | Not found: 2931   
  [4551/14263] (31.9%) | Deezer: 1588 | MusicBrainz: 0 | Not found: 2963   
  [4601/14263] (32.3%) | Deezer: 1608 | MusicBrainz: 0 | Not found: 2993   
  [4651/14263] (32.6%) | Deezer: 1625 | MusicBrainz: 0 | Not found: 3026   
  [4701/14263] (33.0%) | Deezer: 1644 | MusicBrainz: 0 | Not found: 3057   
  [4751/14263] (33.3%) | Deezer: 1662 | MusicBrainz: 0 | Not found: 3089   
  [4801/14263] (33.7%) | Deezer: 1679 | MusicBrainz: 0 | Not found: 3122   
  [4851/14263] (34.0%) | Deezer: 1695 | MusicBrainz: 0 | Not found: 3156   
  [4901/14263] (34.4%) | Deezer: 1707 | MusicBrainz: 0 | Not found: 3194   
  [4951/14263] (34.7%) | Deezer: 1725 | MusicBrainz: 0 | Not found: 3226   
  [5001/14263] (35.1%) | Deezer: 1739 | MusicBrainz: 0 | Not found: 3262   
  [5051/14263] (35.4%) | Deezer: 1751 | MusicBrainz: 0 | Not found: 3300   
  [5101/14263] (35.8%) | Deezer: 1769 | MusicBrainz: 0 | Not found: 3332   
  [5151/14263] (36.1%) | Deezer: 1788 | MusicBrainz: 0 | Not found: 3363   
  [5201/14263] (36.5%) | Deezer: 1803 | MusicBrainz: 0 | Not found: 3398   
  [5251/14263] (36.8%) | Deezer: 1823 | MusicBrainz: 0 | Not found: 3428   
  [5301/14263] (37.2%) | Deezer: 1838 | MusicBrainz: 0 | Not found: 3463   
  [5351/14263] (37.5%) | Deezer: 1852 | MusicBrainz: 0 | Not found: 3499   
  [5401/14263] (37.9%) | Deezer: 1869 | MusicBrainz: 0 | Not found: 3532   
  [5451/14263] (38.2%) | Deezer: 1884 | MusicBrainz: 0 | Not found: 3567   
  [5501/14263] (38.6%) | Deezer: 1906 | MusicBrainz: 0 | Not found: 3595   
  [5551/14263] (38.9%) | Deezer: 1922 | MusicBrainz: 0 | Not found: 3629   
  [5601/14263] (39.3%) | Deezer: 1940 | MusicBrainz: 0 | Not found: 3661   
  [5651/14263] (39.6%) | Deezer: 1960 | MusicBrainz: 0 | Not found: 3691   
  [5701/14263] (40.0%) | Deezer: 1978 | MusicBrainz: 0 | Not found: 3723   
  [5751/14263] (40.3%) | Deezer: 1996 | MusicBrainz: 0 | Not found: 3755   
  [5801/14263] (40.7%) | Deezer: 2013 | MusicBrainz: 0 | Not found: 3788   
  [5851/14263] (41.0%) | Deezer: 2030 | MusicBrainz: 0 | Not found: 3821   
  [5901/14263] (41.4%) | Deezer: 2047 | MusicBrainz: 0 | Not found: 3854   
  [5951/14263] (41.7%) | Deezer: 2059 | MusicBrainz: 0 | Not found: 3892   
  [6001/14263] (42.1%) | Deezer: 2078 | MusicBrainz: 0 | Not found: 3923   
  [6051/14263] (42.4%) | Deezer: 2095 | MusicBrainz: 0 | Not found: 3956   
  [6101/14263] (42.8%) | Deezer: 2112 | MusicBrainz: 0 | Not found: 3989   
  [6151/14263] (43.1%) | Deezer: 2128 | MusicBrainz: 0 | Not found: 4023   
  [6201/14263] (43.5%) | Deezer: 2144 | MusicBrainz: 0 | Not found: 4057   
  [6251/14263] (43.8%) | Deezer: 2165 | MusicBrainz: 0 | Not found: 4086   
  [6301/14263] (44.2%) | Deezer: 2192 | MusicBrainz: 0 | Not found: 4109   
  [6351/14263] (44.5%) | Deezer: 2204 | MusicBrainz: 0 | Not found: 4147   
  [6401/14263] (44.9%) | Deezer: 2219 | MusicBrainz: 0 | Not found: 4182   
  [6451/14263] (45.2%) | Deezer: 2235 | MusicBrainz: 0 | Not found: 4216   
  [6501/14263] (45.6%) | Deezer: 2254 | MusicBrainz: 0 | Not found: 4247   
  [6551/14263] (45.9%) | Deezer: 2274 | MusicBrainz: 0 | Not found: 4277   
  [6601/14263] (46.3%) | Deezer: 2291 | MusicBrainz: 0 | Not found: 4310   
  [6651/14263] (46.6%) | Deezer: 2310 | MusicBrainz: 0 | Not found: 4341   
  [6701/14263] (47.0%) | Deezer: 2324 | MusicBrainz: 0 | Not found: 4377   
  [6751/14263] (47.3%) | Deezer: 2342 | MusicBrainz: 0 | Not found: 4409   
  [6801/14263] (47.7%) | Deezer: 2365 | MusicBrainz: 0 | Not found: 4436   
  [6851/14263] (48.0%) | Deezer: 2379 | MusicBrainz: 0 | Not found: 4472   
  [6901/14263] (48.4%) | Deezer: 2398 | MusicBrainz: 0 | Not found: 4503   
  [6951/14263] (48.7%) | Deezer: 2415 | MusicBrainz: 0 | Not found: 4536   
  [7001/14263] (49.1%) | Deezer: 2427 | MusicBrainz: 0 | Not found: 4574   
  [7051/14263] (49.4%) | Deezer: 2446 | MusicBrainz: 0 | Not found: 4605   
  [7101/14263] (49.8%) | Deezer: 2465 | MusicBrainz: 0 | Not found: 4636   
  [7151/14263] (50.1%) | Deezer: 2486 | MusicBrainz: 0 | Not found: 4665   
  [7201/14263] (50.5%) | Deezer: 2506 | MusicBrainz: 0 | Not found: 4695   
  [7251/14263] (50.8%) | Deezer: 2523 | MusicBrainz: 0 | Not found: 4728   
  [7301/14263] (51.2%) | Deezer: 2543 | MusicBrainz: 0 | Not found: 4758   
  [7351/14263] (51.5%) | Deezer: 2564 | MusicBrainz: 0 | Not found: 4787   
  [7401/14263] (51.9%) | Deezer: 2586 | MusicBrainz: 0 | Not found: 4815   
  [7451/14263] (52.2%) | Deezer: 2606 | MusicBrainz: 0 | Not found: 4845   
  [7501/14263] (52.6%) | Deezer: 2622 | MusicBrainz: 0 | Not found: 4879   
  [7551/14263] (52.9%) | Deezer: 2638 | MusicBrainz: 0 | Not found: 4913   
  [7601/14263] (53.3%) | Deezer: 2654 | MusicBrainz: 0 | Not found: 4947   
  [7651/14263] (53.6%) | Deezer: 2677 | MusicBrainz: 0 | Not found: 4974   
  [7701/14263] (54.0%) | Deezer: 2693 | MusicBrainz: 0 | Not found: 5008   
  [7751/14263] (54.3%) | Deezer: 2710 | MusicBrainz: 0 | Not found: 5041   
  [7801/14263] (54.7%) | Deezer: 2721 | MusicBrainz: 0 | Not found: 5080   
  [7851/14263] (55.0%) | Deezer: 2734 | MusicBrainz: 0 | Not found: 5117   
  [7901/14263] (55.4%) | Deezer: 2747 | MusicBrainz: 0 | Not found: 5154   
  [7951/14263] (55.7%) | Deezer: 2762 | MusicBrainz: 0 | Not found: 5189   
  [8001/14263] (56.1%) | Deezer: 2783 | MusicBrainz: 0 | Not found: 5218   
  [8051/14263] (56.4%) | Deezer: 2807 | MusicBrainz: 0 | Not found: 5244   
  [8101/14263] (56.8%) | Deezer: 2825 | MusicBrainz: 0 | Not found: 5276   
  [8151/14263] (57.1%) | Deezer: 2841 | MusicBrainz: 0 | Not found: 5310   
  [8201/14263] (57.5%) | Deezer: 2858 | MusicBrainz: 0 | Not found: 5343   
  [8251/14263] (57.8%) | Deezer: 2877 | MusicBrainz: 0 | Not found: 5374   
  [8301/14263] (58.2%) | Deezer: 2895 | MusicBrainz: 0 | Not found: 5406   
  [8351/14263] (58.6%) | Deezer: 2908 | MusicBrainz: 0 | Not found: 5443   
  [8401/14263] (58.9%) | Deezer: 2931 | MusicBrainz: 0 | Not found: 5470   
  [8451/14263] (59.3%) | Deezer: 2951 | MusicBrainz: 0 | Not found: 5500   
  [8501/14263] (59.6%) | Deezer: 2971 | MusicBrainz: 0 | Not found: 5530   
  [8551/14263] (60.0%) | Deezer: 2994 | MusicBrainz: 0 | Not found: 5557   
  [8601/14263] (60.3%) | Deezer: 3014 | MusicBrainz: 0 | Not found: 5587   
  [8651/14263] (60.7%) | Deezer: 3032 | MusicBrainz: 0 | Not found: 5619   
  [8701/14263] (61.0%) | Deezer: 3058 | MusicBrainz: 0 | Not found: 5643   
  [8751/14263] (61.4%) | Deezer: 3069 | MusicBrainz: 0 | Not found: 5682   
