=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  16,422 artists without images


  [3651/16422] (22.2%) | Deezer: 894 | MusicBrainz: 0 | Not found: 2757   
  [3701/16422] (22.5%) | Deezer: 904 | MusicBrainz: 0 | Not found: 2797   
  [3751/16422] (22.8%) | Deezer: 915 | MusicBrainz: 0 | Not found: 2836   
  [3801/16422] (23.1%) | Deezer: 928 | MusicBrainz: 0 | Not found: 2873   
  [3851/16422] (23.5%) | Deezer: 945 | MusicBrainz: 0 | Not found: 2906   
  [3901/16422] (23.8%) | Deezer: 960 | MusicBrainz: 0 | Not found: 2941   
  [3951/16422] (24.1%) | Deezer: 975 | MusicBrainz: 0 | Not found: 2976   
  [4001/16422] (24.4%) | Deezer: 991 | MusicBrainz: 0 | Not found: 3010   
  [4051/16422] (24.7%) | Deezer: 1011 | MusicBrainz: 0 | Not found: 3040   
  [4101/16422] (25.0%) | Deezer: 1016 | MusicBrainz: 0 | Not found: 3085   
  [4151/16422] (25.3%) | Deezer: 1032 | MusicBrainz: 0 | Not found: 3119   
  [4201/16422] (25.6%) | Deezer: 1049 | MusicBrainz: 0 | Not found: 3152   
  [4251/16422] (25.9%) | Deezer: 1073 | MusicBrainz: 0 | Not found: 3178   
  [4301/16422] (26.2%) | Deezer: 1096 | MusicBrainz: 0 | Not found: 3205   
  [4351/16422] (26.5%) | Deezer: 1120 | MusicBrainz: 0 | Not found: 3231   
  [4401/16422] (26.8%) | Deezer: 1145 | MusicBrainz: 0 | Not found: 3256   
  [4451/16422] (27.1%) | Deezer: 1174 | MusicBrainz: 0 | Not found: 3277   
  [4501/16422] (27.4%) | Deezer: 1197 | MusicBrainz: 0 | Not found: 3304   
  [4551/16422] (27.7%) | Deezer: 1219 | MusicBrainz: 0 | Not found: 3332   
  [4601/16422] (28.0%) | Deezer: 1246 | MusicBrainz: 0 | Not found: 3355   
  [4651/16422] (28.3%) | Deezer: 1261 | MusicBrainz: 0 | Not found: 3390   
  [4701/16422] (28.6%) | Deezer: 1292 | MusicBrainz: 0 | Not found: 3409   
  [4751/16422] (28.9%) | Deezer: 1316 | MusicBrainz: 0 | Not found: 3435   
  [4801/16422] (29.2%) | Deezer: 1331 | MusicBrainz: 0 | Not found: 3470   
  [4851/16422] (29.5%) | Deezer: 1348 | MusicBrainz: 0 | Not found: 3503   
  [4901/16422] (29.8%) | Deezer: 1373 | MusicBrainz: 0 | Not found: 3528   
  [4951/16422] (30.1%) | Deezer: 1399 | MusicBrainz: 0 | Not found: 3552   
  [5001/16422] (30.5%) | Deezer: 1422 | MusicBrainz: 0 | Not found: 3579   
  [5051/16422] (30.8%) | Deezer: 1447 | MusicBrainz: 0 | Not found: 3604   
  [5101/16422] (31.1%) | Deezer: 1470 | MusicBrainz: 0 | Not found: 3631   
  [5151/16422] (31.4%) | Deezer: 1493 | MusicBrainz: 0 | Not found: 3658   
  [5201/16422] (31.7%) | Deezer: 1515 | MusicBrainz: 0 | Not found: 3686   
  [5251/16422] (32.0%) | Deezer: 1534 | MusicBrainz: 0 | Not found: 3717   
  [5301/16422] (32.3%) | Deezer: 1556 | MusicBrainz: 0 | Not found: 3745   
  [5351/16422] (32.6%) | Deezer: 1579 | MusicBrainz: 0 | Not found: 3772   
  [5401/16422] (32.9%) | Deezer: 1602 | MusicBrainz: 0 | Not found: 3799   
  [5451/16422] (33.2%) | Deezer: 1622 | MusicBrainz: 0 | Not found: 3829   
  [5501/16422] (33.5%) | Deezer: 1642 | MusicBrainz: 0 | Not found: 3859   
  [5551/16422] (33.8%) | Deezer: 1669 | MusicBrainz: 0 | Not found: 3882   
  [5601/16422] (34.1%) | Deezer: 1697 | MusicBrainz: 0 | Not found: 3904   
  [5651/16422] (34.4%) | Deezer: 1720 | MusicBrainz: 0 | Not found: 3931   
  [5701/16422] (34.7%) | Deezer: 1744 | MusicBrainz: 0 | Not found: 3957   
  [5751/16422] (35.0%) | Deezer: 1766 | MusicBrainz: 0 | Not found: 3985   
  [5801/16422] (35.3%) | Deezer: 1788 | MusicBrainz: 0 | Not found: 4013   
  [5851/16422] (35.6%) | Deezer: 1808 | MusicBrainz: 0 | Not found: 4043   
  [5901/16422] (35.9%) | Deezer: 1834 | MusicBrainz: 0 | Not found: 4067   
  [5951/16422] (36.2%) | Deezer: 1856 | MusicBrainz: 0 | Not found: 4095   
  [6001/16422] (36.5%) | Deezer: 1874 | MusicBrainz: 0 | Not found: 4127   
  [6051/16422] (36.8%) | Deezer: 1898 | MusicBrainz: 0 | Not found: 4153   
  [6101/16422] (37.2%) | Deezer: 1925 | MusicBrainz: 0 | Not found: 4176   
  [6151/16422] (37.5%) | Deezer: 1949 | MusicBrainz: 0 | Not found: 4202   
  [6201/16422] (37.8%) | Deezer: 1969 | MusicBrainz: 0 | Not found: 4232   
