=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  17,669 artists without images


  [3601/17669] (20.4%) | Deezer: 1889 | MusicBrainz: 0 | Not found: 1712   
  [3651/17669] (20.7%) | Deezer: 1914 | MusicBrainz: 0 | Not found: 1737   
  [3701/17669] (20.9%) | Deezer: 1940 | MusicBrainz: 0 | Not found: 1761   
  [3751/17669] (21.2%) | Deezer: 1963 | MusicBrainz: 0 | Not found: 1788   
  [3801/17669] (21.5%) | Deezer: 1993 | MusicBrainz: 0 | Not found: 1808   
  [3851/17669] (21.8%) | Deezer: 2024 | MusicBrainz: 0 | Not found: 1827   
  [3901/17669] (22.1%) | Deezer: 2048 | MusicBrainz: 0 | Not found: 1853   
  [3951/17669] (22.4%) | Deezer: 2072 | MusicBrainz: 0 | Not found: 1879   
  [4001/17669] (22.6%) | Deezer: 2097 | MusicBrainz: 0 | Not found: 1904   
  [4051/17669] (22.9%) | Deezer: 2120 | MusicBrainz: 0 | Not found: 1931   
  [4101/17669] (23.2%) | Deezer: 2142 | MusicBrainz: 0 | Not found: 1959   
  [4151/17669] (23.5%) | Deezer: 2169 | MusicBrainz: 0 | Not found: 1982   
  [4201/17669] (23.8%) | Deezer: 2191 | MusicBrainz: 0 | Not found: 2010   
  [4251/17669] (24.1%) | Deezer: 2211 | MusicBrainz: 0 | Not found: 2040   
  [4301/17669] (24.3%) | Deezer: 2238 | MusicBrainz: 0 | Not found: 2063   
  [4351/17669] (24.6%) | Deezer: 2262 | MusicBrainz: 0 | Not found: 2089   
  [4401/17669] (24.9%) | Deezer: 2291 | MusicBrainz: 0 | Not found: 2110   
  [4451/17669] (25.2%) | Deezer: 2309 | MusicBrainz: 0 | Not found: 2142   
  [4501/17669] (25.5%) | Deezer: 2338 | MusicBrainz: 0 | Not found: 2163   
  [4551/17669] (25.8%) | Deezer: 2365 | MusicBrainz: 0 | Not found: 2186   
  [4601/17669] (26.0%) | Deezer: 2390 | MusicBrainz: 0 | Not found: 2211   
  [4651/17669] (26.3%) | Deezer: 2418 | MusicBrainz: 0 | Not found: 2233   
  [4701/17669] (26.6%) | Deezer: 2442 | MusicBrainz: 0 | Not found: 2259   
  [4751/17669] (26.9%) | Deezer: 2470 | MusicBrainz: 0 | Not found: 2281   
  [4801/17669] (27.2%) | Deezer: 2497 | MusicBrainz: 0 | Not found: 2304   
  [4851/17669] (27.5%) | Deezer: 2525 | MusicBrainz: 0 | Not found: 2326   
  [4901/17669] (27.7%) | Deezer: 2548 | MusicBrainz: 0 | Not found: 2353   
  [4951/17669] (28.0%) | Deezer: 2569 | MusicBrainz: 0 | Not found: 2382   
  [5001/17669] (28.3%) | Deezer: 2598 | MusicBrainz: 0 | Not found: 2403   
  [5051/17669] (28.6%) | Deezer: 2627 | MusicBrainz: 0 | Not found: 2424   
  [5101/17669] (28.9%) | Deezer: 2656 | MusicBrainz: 0 | Not found: 2445   
  [5151/17669] (29.2%) | Deezer: 2685 | MusicBrainz: 0 | Not found: 2466   
  [5201/17669] (29.4%) | Deezer: 2715 | MusicBrainz: 0 | Not found: 2486   
  [5251/17669] (29.7%) | Deezer: 2739 | MusicBrainz: 0 | Not found: 2512   
  [5301/17669] (30.0%) | Deezer: 2763 | MusicBrainz: 0 | Not found: 2538   
  [5351/17669] (30.3%) | Deezer: 2787 | MusicBrainz: 0 | Not found: 2564   
  [5401/17669] (30.6%) | Deezer: 2818 | MusicBrainz: 0 | Not found: 2583   
  [5451/17669] (30.9%) | Deezer: 2848 | MusicBrainz: 0 | Not found: 2603   
  [5501/17669] (31.1%) | Deezer: 2877 | MusicBrainz: 0 | Not found: 2624   
  [5551/17669] (31.4%) | Deezer: 2899 | MusicBrainz: 0 | Not found: 2652   
  [5601/17669] (31.7%) | Deezer: 2924 | MusicBrainz: 0 | Not found: 2677   
  [5651/17669] (32.0%) | Deezer: 2951 | MusicBrainz: 0 | Not found: 2700   
  [5701/17669] (32.3%) | Deezer: 2983 | MusicBrainz: 0 | Not found: 2718   
  [5751/17669] (32.5%) | Deezer: 3011 | MusicBrainz: 0 | Not found: 2740   
  [5801/17669] (32.8%) | Deezer: 3036 | MusicBrainz: 0 | Not found: 2765   
  [5851/17669] (33.1%) | Deezer: 3069 | MusicBrainz: 0 | Not found: 2782   
  [5901/17669] (33.4%) | Deezer: 3092 | MusicBrainz: 0 | Not found: 2809   
  [5951/17669] (33.7%) | Deezer: 3113 | MusicBrainz: 0 | Not found: 2838   
  [6001/17669] (34.0%) | Deezer: 3135 | MusicBrainz: 0 | Not found: 2866   
  [6051/17669] (34.2%) | Deezer: 3160 | MusicBrainz: 0 | Not found: 2891   
  [6101/17669] (34.5%) | Deezer: 3178 | MusicBrainz: 0 | Not found: 2923   
  [6151/17669] (34.8%) | Deezer: 3202 | MusicBrainz: 0 | Not found: 2949   
  [6201/17669] (35.1%) | Deezer: 3229 | MusicBrainz: 0 | Not found: 2972   
  [6251/17669] (35.4%) | Deezer: 3247 | MusicBrainz: 0 | Not found: 3004   
  [6301/17669] (35.7%) | Deezer: 3270 | MusicBrainz: 0 | Not found: 3031   
  [6351/17669] (35.9%) | Deezer: 3298 | MusicBrainz: 0 | Not found: 3053   
  [6401/17669] (36.2%) | Deezer: 3330 | MusicBrainz: 0 | Not found: 3071   
  [6451/17669] (36.5%) | Deezer: 3357 | MusicBrainz: 0 | Not found: 3094   
  [6501/17669] (36.8%) | Deezer: 3378 | MusicBrainz: 0 | Not found: 3123   
  [6551/17669] (37.1%) | Deezer: 3403 | MusicBrainz: 0 | Not found: 3148   
  [6601/17669] (37.4%) | Deezer: 3433 | MusicBrainz: 0 | Not found: 3168   
  [6651/17669] (37.6%) | Deezer: 3459 | MusicBrainz: 0 | Not found: 3192   
  [6701/17669] (37.9%) | Deezer: 3480 | MusicBrainz: 0 | Not found: 3221   
  [6751/17669] (38.2%) | Deezer: 3513 | MusicBrainz: 0 | Not found: 3238   
  [6801/17669] (38.5%) | Deezer: 3536 | MusicBrainz: 0 | Not found: 3265   
  [6851/17669] (38.8%) | Deezer: 3564 | MusicBrainz: 0 | Not found: 3287   
  [6901/17669] (39.1%) | Deezer: 3585 | MusicBrainz: 0 | Not found: 3316   
  [6951/17669] (39.3%) | Deezer: 3609 | MusicBrainz: 0 | Not found: 3342   
  [7001/17669] (39.6%) | Deezer: 3633 | MusicBrainz: 0 | Not found: 3368   
  [7051/17669] (39.9%) | Deezer: 3665 | MusicBrainz: 0 | Not found: 3386   
  [7101/17669] (40.2%) | Deezer: 3690 | MusicBrainz: 0 | Not found: 3411   
  [7151/17669] (40.5%) | Deezer: 3719 | MusicBrainz: 0 | Not found: 3432   
  [7201/17669] (40.8%) | Deezer: 3744 | MusicBrainz: 0 | Not found: 3457   
  [7251/17669] (41.0%) | Deezer: 3768 | MusicBrainz: 0 | Not found: 3483   
  [7301/17669] (41.3%) | Deezer: 3789 | MusicBrainz: 0 | Not found: 3512   
  [7351/17669] (41.6%) | Deezer: 3811 | MusicBrainz: 0 | Not found: 3540   
  [7401/17669] (41.9%) | Deezer: 3835 | MusicBrainz: 0 | Not found: 3566   
  [7451/17669] (42.2%) | Deezer: 3860 | MusicBrainz: 0 | Not found: 3591   
  [7501/17669] (42.5%) | Deezer: 3891 | MusicBrainz: 0 | Not found: 3610   
  [7551/17669] (42.7%) | Deezer: 3920 | MusicBrainz: 0 | Not found: 3631   
  [7601/17669] (43.0%) | Deezer: 3941 | MusicBrainz: 0 | Not found: 3660   
  [7651/17669] (43.3%) | Deezer: 3967 | MusicBrainz: 0 | Not found: 3684   
  [7701/17669] (43.6%) | Deezer: 3989 | MusicBrainz: 0 | Not found: 3712   
  [7751/17669] (43.9%) | Deezer: 4015 | MusicBrainz: 0 | Not found: 3736   
  [7801/17669] (44.2%) | Deezer: 4041 | MusicBrainz: 0 | Not found: 3760   
