=== GigRadar Artist Enrichment — Last.fm ===

Loading artists from DynamoDB...
  29,393 artists loaded

Processing 29,393 artists


  [5,301/29,392] (18.0%) | Enriched: 3258 | Genres: 2230 | Bios: 1916 | Not found: 2043   
  [5,401/29,392] (18.4%) | Enriched: 3316 | Genres: 2270 | Bios: 1949 | Not found: 2085   
  [5,501/29,392] (18.7%) | Enriched: 3379 | Genres: 2317 | Bios: 1987 | Not found: 2122   
  [5,601/29,392] (19.1%) | Enriched: 3444 | Genres: 2361 | Bios: 2033 | Not found: 2157   
  [5,701/29,392] (19.4%) | Enriched: 3509 | Genres: 2404 | Bios: 2073 | Not found: 2192   
  [5,801/29,392] (19.7%) | Enriched: 3568 | Genres: 2444 | Bios: 2108 | Not found: 2233   
  [5,901/29,392] (20.1%) | Enriched: 3624 | Genres: 2483 | Bios: 2139 | Not found: 2277   
  [6,001/29,392] (20.4%) | Enriched: 3691 | Genres: 2537 | Bios: 2189 | Not found: 2310   
  [6,101/29,392] (20.8%) | Enriched: 3761 | Genres: 2584 | Bios: 2232 | Not found: 2340   
  [6,201/29,392] (21.1%) | Enriched: 3822 | Genres: 2628 | Bios: 2275 | Not found: 2379   
  [6,301/29,392] (21.4%) | Enriched: 3886 | Genres: 2678 | Bios: 2316 | Not found: 2415   
  [6,401/29,392] (21.8%) | Enriched: 3946 | Genres: 2719 | Bios: 2355 | Not found: 2455   
  [6,501/29,392] (22.1%) | Enriched: 4008 | Genres: 2762 | Bios: 2393 | Not found: 2493   
  [6,601/29,392] (22.5%) | Enriched: 4066 | Genres: 2805 | Bios: 2432 | Not found: 2535   
  [6,701/29,392] (22.8%) | Enriched: 4131 | Genres: 2845 | Bios: 2466 | Not found: 2570   
  [6,801/29,392] (23.1%) | Enriched: 4182 | Genres: 2878 | Bios: 2497 | Not found: 2619   
  [6,901/29,392] (23.5%) | Enriched: 4243 | Genres: 2918 | Bios: 2533 | Not found: 2658   
  [7,001/29,392] (23.8%) | Enriched: 4305 | Genres: 2955 | Bios: 2564 | Not found: 2696   
  [7,101/29,392] (24.2%) | Enriched: 4366 | Genres: 2994 | Bios: 2596 | Not found: 2735   
  [7,201/29,392] (24.5%) | Enriched: 4423 | Genres: 3038 | Bios: 2634 | Not found: 2778   
  [7,301/29,392] (24.8%) | Enriched: 4477 | Genres: 3078 | Bios: 2670 | Not found: 2824   
  [7,401/29,392] (25.2%) | Enriched: 4535 | Genres: 3122 | Bios: 2709 | Not found: 2866   
  [7,501/29,392] (25.5%) | Enriched: 4594 | Genres: 3167 | Bios: 2748 | Not found: 2907   
  [7,601/29,392] (25.9%) | Enriched: 4649 | Genres: 3202 | Bios: 2779 | Not found: 2952   
  [7,701/29,392] (26.2%) | Enriched: 4704 | Genres: 3235 | Bios: 2807 | Not found: 2997   
  [7,801/29,392] (26.5%) | Enriched: 4762 | Genres: 3279 | Bios: 2839 | Not found: 3039   
  [7,901/29,392] (26.9%) | Enriched: 4820 | Genres: 3320 | Bios: 2879 | Not found: 3081   
  [8,001/29,392] (27.2%) | Enriched: 4892 | Genres: 3370 | Bios: 2924 | Not found: 3109   
  [8,101/29,392] (27.6%) | Enriched: 4954 | Genres: 3424 | Bios: 2971 | Not found: 3147   
  [8,201/29,392] (27.9%) | Enriched: 5016 | Genres: 3466 | Bios: 3008 | Not found: 3185   
  [8,301/29,392] (28.2%) | Enriched: 5075 | Genres: 3505 | Bios: 3043 | Not found: 3226   
  [8,401/29,392] (28.6%) | Enriched: 5138 | Genres: 3543 | Bios: 3078 | Not found: 3263   
  [8,501/29,392] (28.9%) | Enriched: 5185 | Genres: 3574 | Bios: 3104 | Not found: 3316   
  [8,601/29,392] (29.3%) | Enriched: 5247 | Genres: 3619 | Bios: 3140 | Not found: 3354   
  [8,701/29,392] (29.6%) | Enriched: 5308 | Genres: 3659 | Bios: 3169 | Not found: 3393   
  [8,801/29,392] (29.9%) | Enriched: 5375 | Genres: 3701 | Bios: 3208 | Not found: 3426   
  [8,901/29,392] (30.3%) | Enriched: 5436 | Genres: 3751 | Bios: 3254 | Not found: 3465   
  [9,001/29,392] (30.6%) | Enriched: 5497 | Genres: 3796 | Bios: 3290 | Not found: 3504   
  [9,101/29,392] (31.0%) | Enriched: 5553 | Genres: 3836 | Bios: 3320 | Not found: 3548   
  [9,201/29,392] (31.3%) | Enriched: 5620 | Genres: 3885 | Bios: 3368 | Not found: 3581   
  [9,301/29,392] (31.6%) | Enriched: 5688 | Genres: 3933 | Bios: 3413 | Not found: 3613   
  [9,401/29,392] (32.0%) | Enriched: 5758 | Genres: 3980 | Bios: 3459 | Not found: 3643   
  [9,501/29,392] (32.3%) | Enriched: 5811 | Genres: 4016 | Bios: 3492 | Not found: 3690   
  [9,601/29,392] (32.7%) | Enriched: 5872 | Genres: 4055 | Bios: 3525 | Not found: 3729   
  [9,701/29,392] (33.0%) | Enriched: 5938 | Genres: 4108 | Bios: 3569 | Not found: 3763   
  [9,801/29,392] (33.3%) | Enriched: 6001 | Genres: 4148 | Bios: 3603 | Not found: 3800   
  [9,901/29,392] (33.7%) | Enriched: 6062 | Genres: 4187 | Bios: 3643 | Not found: 3839   
  [10,001/29,392] (34.0%) | Enriched: 6132 | Genres: 4233 | Bios: 3683 | Not found: 3869   
  [10,101/29,392] (34.4%) | Enriched: 6191 | Genres: 4275 | Bios: 3719 | Not found: 3910   
  [10,201/29,392] (34.7%) | Enriched: 6250 | Genres: 4308 | Bios: 3749 | Not found: 3951   
  [10,301/29,392] (35.0%) | Enriched: 6310 | Genres: 4345 | Bios: 3782 | Not found: 3991   
  [10,401/29,392] (35.4%) | Enriched: 6356 | Genres: 4379 | Bios: 3806 | Not found: 4045   
  [10,501/29,392] (35.7%) | Enriched: 6417 | Genres: 4421 | Bios: 3842 | Not found: 4084   
  [10,601/29,392] (36.1%) | Enriched: 6474 | Genres: 4457 | Bios: 3872 | Not found: 4127   
  [10,701/29,392] (36.4%) | Enriched: 6528 | Genres: 4498 | Bios: 3905 | Not found: 4173   
  [10,801/29,392] (36.7%) | Enriched: 6585 | Genres: 4541 | Bios: 3942 | Not found: 4216   
  [10,901/29,392] (37.1%) | Enriched: 6647 | Genres: 4581 | Bios: 3977 | Not found: 4254   
  [11,001/29,392] (37.4%) | Enriched: 6710 | Genres: 4620 | Bios: 4010 | Not found: 4291   
  [11,101/29,392] (37.8%) | Enriched: 6769 | Genres: 4661 | Bios: 4045 | Not found: 4332   
  [11,201/29,392] (38.1%) | Enriched: 6832 | Genres: 4703 | Bios: 4084 | Not found: 4369   
  [11,301/29,392] (38.4%) | Enriched: 6896 | Genres: 4746 | Bios: 4117 | Not found: 4405   
  [11,401/29,392] (38.8%) | Enriched: 6954 | Genres: 4780 | Bios: 4148 | Not found: 4447   
  [11,501/29,392] (39.1%) | Enriched: 7022 | Genres: 4829 | Bios: 4192 | Not found: 4479   
  [11,601/29,392] (39.5%) | Enriched: 7071 | Genres: 4862 | Bios: 4225 | Not found: 4530   
  [11,701/29,392] (39.8%) | Enriched: 7136 | Genres: 4908 | Bios: 4257 | Not found: 4565   
  [11,801/29,392] (40.2%) | Enriched: 7194 | Genres: 4948 | Bios: 4294 | Not found: 4607   
  [11,901/29,392] (40.5%) | Enriched: 7254 | Genres: 4990 | Bios: 4334 | Not found: 4647   
  [12,001/29,392] (40.8%) | Enriched: 7317 | Genres: 5037 | Bios: 4370 | Not found: 4684   
  [12,101/29,392] (41.2%) | Enriched: 7376 | Genres: 5081 | Bios: 4408 | Not found: 4725   
  [12,201/29,392] (41.5%) | Enriched: 7439 | Genres: 5127 | Bios: 4446 | Not found: 4762   
  [12,301/29,392] (41.9%) | Enriched: 7494 | Genres: 5162 | Bios: 4475 | Not found: 4807   
  [12,401/29,392] (42.2%) | Enriched: 7551 | Genres: 5200 | Bios: 4508 | Not found: 4850   
  [12,501/29,392] (42.5%) | Enriched: 7606 | Genres: 5235 | Bios: 4533 | Not found: 4895   
  [12,601/29,392] (42.9%) | Enriched: 7665 | Genres: 5275 | Bios: 4569 | Not found: 4936   
  [12,701/29,392] (43.2%) | Enriched: 7730 | Genres: 5316 | Bios: 4605 | Not found: 4971   
  [12,801/29,392] (43.6%) | Enriched: 7799 | Genres: 5367 | Bios: 4650 | Not found: 5002   
  [12,901/29,392] (43.9%) | Enriched: 7859 | Genres: 5411 | Bios: 4684 | Not found: 5042   
  [13,001/29,392] (44.2%) | Enriched: 7914 | Genres: 5452 | Bios: 4718 | Not found: 5087   
  [13,101/29,392] (44.6%) | Enriched: 7976 | Genres: 5491 | Bios: 4755 | Not found: 5125   
  [13,201/29,392] (44.9%) | Enriched: 8034 | Genres: 5530 | Bios: 4789 | Not found: 5167   
  [13,301/29,392] (45.3%) | Enriched: 8101 | Genres: 5577 | Bios: 4827 | Not found: 5200   
