
=== Ticketline Scraper — 2026-04-20T17:30:24.105Z ===
  [Florence Road] @ Manchester Academy 2, Manchester — 2026-05-14
  [Maddox Batson] @ Manchester Academy 2, Manchester — 2026-05-15
  [The Longest Johns] @ Manchester Academy 2, Manchester — 2026-05-16
  [Pishro, Arta &amp; Koorosh] @ Manchester Academy 2, Manchester — 2026-05-17
  [Dave Formula &amp; Noko Play Songs From Under The Floorboards] @ Manchester Academy 2, Manchester — 2026-05-23
  [We Lost The Sea] @ Manchester Academy 2, Manchester — 2026-05-24
  [Don West] @ Manchester Academy 2, Manchester — 2026-05-28
  [The Lemon Twigs] @ Manchester Academy 2, Manchester — 2026-05-30
  [Texas Is The Reason] @ Manchester Academy 2, Manchester — 2026-05-31
  [Erasured] @ Manchester Academy 3, Manchester — 2026-04-24
  [Solence] @ Manchester Academy 3, Manchester — 2026-05-01
  [Syntara] @ Manchester Academy 3, Manchester — 2026-05-02
  [Paledusk] @ Manchester Academy 3, Manchester — 2026-05-08
  [Pearl Scam] @ Manchester Academy 3, Manchester — 2026-05-09
  [Angry Hair (Alice In Chains Tribute)] @ Manchester Academy 3, Manchester — 2026-05-09
  [Sounds Garden (Soundgarden Tribute)] @ Manchester Academy 3, Manchester — 2026-05-09
  [Lights] @ Manchester Academy 3, Manchester — 2026-05-11
  [Clinton Kane] @ Manchester Academy 3, Manchester — 2026-05-14
  [Mechanical Animals Industrial Goth &amp; Nu Metal Freakfest!] @ Manchester Academy 3, Manchester — 2026-05-15
  [Proud Mary] @ Manchester Academy 3, Manchester — 2026-05-16
  [Bella Kay] @ Manchester Academy 3, Manchester — 2026-05-17
  [Ayna] @ Manchester Academy 3, Manchester — 2026-05-23
  [XO] @ Manchester Academy 3, Manchester — 2026-05-26
  [Elio Mei] @ Manchester Academy 3, Manchester — 2026-05-27
  [Chris Grey] @ Manchester Academy 3, Manchester — 2026-05-29
  [Buckshot] @ Manchester Academy 3, Manchester — 2026-05-30
  [Naomi Jon - Strawberry Tour 2026] @ Manchester Club Academy, Manchester — 2026-04-20
  [Creeper] @ Manchester Club Academy, Manchester — 2026-04-23
  [Dragged Into Sunlight] @ Manchester Club Academy, Manchester — 2026-04-30
  [Dogma] @ Manchester Club Academy, Manchester — 2026-05-01
  [Fiinka] @ Manchester Club Academy, Manchester — 2026-05-03
  [Au/Ra] @ Manchester Club Academy, Manchester — 2026-05-09
  [LØLØ] @ Manchester Club Academy, Manchester — 2026-05-11
  [Leah Kate] @ Manchester Club Academy, Manchester — 2026-05-16
  [Plini] @ Manchester Club Academy, Manchester — 2026-05-23
  [Ghost UK &amp; Sleep Broken] @ Manchester Club Academy, Manchester — 2026-05-29
  [The 30+ Club] @ Manchester Club Academy, Manchester — 2026-05-30

=== Ticketline Scraper — 2026-04-20T17:31:09.358Z ===
  [Rubber Cult - 25th April] @ Secret London Location, London — 2026-04-25
  [Return To Paradise] @ Secret London Location, London — 2026-06-13
  [Grotesque Burlesque] @ Secret London Location, London — 2026-06-20
  [Sid Quatrine. An Evening of Illusion] @ Secret London Location, London — 2026-07-11
  [Norman Jay MBE presents Good Times on the Thames] @ Festival Pier, London — 2026-05-24
