=== GigRadar Artist Enrichment — Last.fm ===

Loading artists from DynamoDB...
  26,085 artists loaded

Processing 26,085 artists


  [5,401/26,085] (20.7%) | Enriched: 3182 | Genres: 2206 | Bios: 1917 | Not found: 2219   
  [5,501/26,085] (21.1%) | Enriched: 3244 | Genres: 2251 | Bios: 1961 | Not found: 2257   
  [5,601/26,085] (21.5%) | Enriched: 3304 | Genres: 2297 | Bios: 1999 | Not found: 2297   
  [5,701/26,085] (21.9%) | Enriched: 3363 | Genres: 2339 | Bios: 2041 | Not found: 2338   
  [5,801/26,085] (22.2%) | Enriched: 3414 | Genres: 2379 | Bios: 2078 | Not found: 2387   
  [5,901/26,085] (22.6%) | Enriched: 3469 | Genres: 2417 | Bios: 2114 | Not found: 2432   
  [6,001/26,085] (23.0%) | Enriched: 3526 | Genres: 2457 | Bios: 2147 | Not found: 2475   
  [6,101/26,085] (23.4%) | Enriched: 3580 | Genres: 2488 | Bios: 2178 | Not found: 2521   
  [6,201/26,085] (23.8%) | Enriched: 3640 | Genres: 2529 | Bios: 2213 | Not found: 2561   
  [6,301/26,085] (24.2%) | Enriched: 3698 | Genres: 2563 | Bios: 2239 | Not found: 2603   
  [6,401/26,085] (24.5%) | Enriched: 3751 | Genres: 2604 | Bios: 2274 | Not found: 2650   
  [6,501/26,085] (24.9%) | Enriched: 3805 | Genres: 2646 | Bios: 2312 | Not found: 2696   
  [6,601/26,085] (25.3%) | Enriched: 3861 | Genres: 2686 | Bios: 2345 | Not found: 2740   
  [6,701/26,085] (25.7%) | Enriched: 3910 | Genres: 2722 | Bios: 2380 | Not found: 2791   
  [6,801/26,085] (26.1%) | Enriched: 3963 | Genres: 2752 | Bios: 2404 | Not found: 2838   
  [6,901/26,085] (26.5%) | Enriched: 4017 | Genres: 2791 | Bios: 2432 | Not found: 2884   
  [7,001/26,085] (26.8%) | Enriched: 4078 | Genres: 2836 | Bios: 2472 | Not found: 2923   
  [7,101/26,085] (27.2%) | Enriched: 4137 | Genres: 2880 | Bios: 2510 | Not found: 2964   
  [7,201/26,085] (27.6%) | Enriched: 4197 | Genres: 2927 | Bios: 2554 | Not found: 3004   
  [7,301/26,085] (28.0%) | Enriched: 4257 | Genres: 2969 | Bios: 2592 | Not found: 3044   
